SWISSPROT,Count,Proportion(%)
Q02846,1260,0.0166
P38935,1259,0.0165
Q8IUL8,1259,0.0165
Q92954,1258,0.0165
O15031,1257,0.0165
Q68DA7,1257,0.0165
Q9NSC2,1256,0.0165
Q9Y6D5,1255,0.0165
Q7RTR2,1251,0.0164
O00255,1250,0.0164
A1L390,1247,0.0164
A6NN14,1247,0.0164
Q13219,1247,0.0164
Q8N3D4,1246,0.0164
Q5VU65,1244,0.0163
Q15058,1244,0.0163
Q5VZP5,1243,0.0163
Q96F81,1243,0.0163
Q9Y2I1,1241,0.0163
Q9P2M7,1241,0.0163
Q96KG7,1241,0.0163
Q96P48,1240,0.0163
Q2M1Z3,1239,0.0163
Q96PN6,1239,0.0163
Q9H1H9,1239,0.0163
O15040,1238,0.0163
Q6AHZ1,1237,0.0163
Q7Z3B3,1237,0.0163
Q92560,1236,0.0162
Q68CP9,1235,0.0162
O60293,1235,0.0162
Q15021,1235,0.0162
Q8N157,1234,0.0162
Q8IY33,1233,0.0162
Q7Z3T8,1231,0.0162
Q9NZQ8,1229,0.0161
Q6PGP7,1227,0.0161
Q7RTX0,1226,0.0161
O43593,1226,0.0161
Q9HD43,1223,0.0161
Q9UKJ3,1223,0.0161
Q6ZVD8,1223,0.0161
Q5JTH9,1221,0.016
Q14050,1221,0.016
Q86UU1,1221,0.016
Q96RT1,1221,0.016
O60346,1220,0.016
O95342,1220,0.016
Q6XZF7,1219,0.016
Q02413,1217,0.016
P31040,1217,0.016
Q6PJG6,1217,0.016
Q8TDN2,1216,0.016
Q5TCS8,1214,0.0159
Q8IWZ3,1213,0.0159
Q9Y2E5,1212,0.0159
P49959,1210,0.0159
Q9UQ52,1210,0.0159
Q76N89,1209,0.0159
Q4ADV7,1209,0.0159
Q96C45,1209,0.0159
Q13018,1209,0.0159
Q96J92,1209,0.0159
Q8WWZ4,1208,0.0159
P49588,1208,0.0159
Q8IUA7,1208,0.0159
Q8WXR4,1208,0.0159
Q8TEW8,1206,0.0158
Q9ULD9,1205,0.0158
Q9HC77,1205,0.0158
Q68DX3,1204,0.0158
Q8NFD5,1204,0.0158
Q6YHK3,1204,0.0158
Q9C0D6,1203,0.0158
O94827,1203,0.0158
Q9NUX5,1202,0.0158
Q9Y5E2,1202,0.0158
Q9BWH6,1202,0.0158
P08603,1202,0.0158
Q96PE1,1201,0.0158
P20742,1201,0.0158
P14616,1201,0.0158
Q8WXE0,1199,0.0158
P35125,1199,0.0158
Q9UPU5,1198,0.0157
Q9Y4F3,1197,0.0157
Q9Y5S2,1197,0.0157
Q9H1A4,1197,0.0157
A4D1E1,1195,0.0157
Q04637,1195,0.0157
Q6ZSZ5,1194,0.0157
P29375,1193,0.0157
Q9UGL1,1192,0.0157
Q6NUQ1,1192,0.0157
Q14689,1190,0.0156
Q9NZW4,1188,0.0156
Q8TDI0,1188,0.0156
O00192,1188,0.0156
Q66K74,1188,0.0156
Q8N7X0,1187,0.0156
Q4KMG0,1187,0.0156
Q9P241,1186,0.0156
O75420,1183,0.0155
O00159,1183,0.0155
Q14674,1180,0.0155
Q13045,1179,0.0155
P11215,1179,0.0155
Q9H7N4,1178,0.0155
Q9ULL1,1177,0.0155
Q9Y5H6,1176,0.0154
P11274,1174,0.0154
P51805,1174,0.0154
P78504,1174,0.0154
Q9HCH0,1172,0.0154
Q5JYT7,1172,0.0154
Q14004,1171,0.0154
Q6P1M3,1171,0.0154
Q14703,1170,0.0154
Q9P2S2,1168,0.0153
Q9P275,1167,0.0153
Q96QE3,1166,0.0153
Q14997,1166,0.0153
Q13576,1165,0.0153
O15055,1164,0.0153
Q9H2M9,1164,0.0153
Q9Y5H5,1163,0.0153
P55291,1162,0.0153
Q8WWZ7,1162,0.0153
Q5H8A4,1161,0.0153
P42694,1161,0.0153
Q96JN8,1159,0.0152
Q13428,1157,0.0152
P20849,1157,0.0152
Q8IY21,1157,0.0152
Q4VC44,1157,0.0152
P35916,1157,0.0152
